# x	y	u	v	flags	mask
5.6250e-03	6.7969e-03	1.3409e+01	2.1779e+01	1.0000e+00	0.0000e+00
5.8594e-03	6.7969e-03	1.3054e+01	2.1695e+01	0.0000e+00	0.0000e+00
6.0938e-03	6.7969e-03	1.3162e+01	2.1751e+01	1.0000e+00	0.0000e+00
6.3281e-03	6.7969e-03	1.2930e+01	2.1704e+01	0.0000e+00	0.0000e+00
6.5625e-03	6.7969e-03	1.2980e+01	2.1751e+01	1.0000e+00	0.0000e+00
6.7969e-03	6.7969e-03	1.2804e+01	2.1764e+01	0.0000e+00	0.0000e+00
7.0313e-03	6.7969e-03	1.2865e+01	2.1826e+01	0.0000e+00	0.0000e+00
7.2656e-03	6.7969e-03	1.3230e+01	2.1700e+01	0.0000e+00	0.0000e+00
2.3438e-04	6.5625e-03	3.9471e+01	2.1951e+01	0.0000e+00	0.0000e+00
4.6875e-04	6.5625e-03	3.3882e+01	2.2590e+01	0.0000e+00	0.0000e+00
7.0313e-04	6.5625e-03	3.4047e+01	2.2046e+01	1.0000e+00	0.0000e+00
9.3750e-04	6.5625e-03	3.2737e+01	2.2130e+01	1.0000e+00	0.0000e+00
1.1719e-03	6.5625e-03	2.9796e+01	2.1708e+01	0.0000e+00	0.0000e+00
1.4063e-03	6.5625e-03	3.1968e+01	2.2100e+01	0.0000e+00	0.0000e+00
1.6406e-03	6.5625e-03	3.1955e+01	2.2075e+01	1.0000e+00	0.0000e+00
1.8750e-03	6.5625e-03	3.1044e+01	2.1352e+01	0.0000e+00	0.0000e+00
2.1094e-03	6.5625e-03	3.1241e+01	2.1536e+01	0.0000e+00	0.0000e+00
2.3438e-03	6.5625e-03	3.3187e+01	2.2206e+01	0.0000e+00	0.0000e+00
2.5781e-03	6.5625e-03	3.3300e+01	2.1977e+01	0.0000e+00	0.0000e+00
2.8125e-03	6.5625e-03	3.0309e+01	2.1601e+01	0.0000e+00	0.0000e+00
3.0469e-03	6.5625e-03	2.2242e+01	2.1843e+01	0.0000e+00	0.0000e+00
3.2813e-03	6.5625e-03	2.0252e+01	2.1853e+01	1.0000e+00	0.0000e+00
3.5156e-03	6.5625e-03	1.3163e+01	2.2157e+01	0.0000e+00	0.0000e+00
3.7500e-03	6.5625e-03	1.4981e+01	2.1828e+01	1.0000e+00	0.0000e+00
3.9844e-03	6.5625e-03	1.4135e+01	2.1824e+01	1.0000e+00	0.0000e+00
4.2188e-03	6.5625e-03	1.3788e+01	2.1779e+01	1.0000e+00	0.0000e+00
