# x	y	u	v	flags	mask
4.6875e-03	6.7969e-03	1.4672e+01	2.1556e+01	0.0000e+00	0.0000e+00
4.9219e-03	6.7969e-03	1.4692e+01	2.1659e+01	1.0000e+00	0.0000e+00
5.1563e-03	6.7969e-03	1.4734e+01	2.1651e+01	1.0000e+00	0.0000e+00
5.3906e-03	6.7969e-03	1.4778e+01	2.1629e+01	1.0000e+00	0.0000e+00
5.6250e-03	6.7969e-03	1.4755e+01	2.1572e+01	0.0000e+00	0.0000e+00
5.8594e-03	6.7969e-03	1.4758e+01	2.1578e+01	0.0000e+00	0.0000e+00
6.0938e-03	6.7969e-03	1.4869e+01	2.1565e+01	0.0000e+00	0.0000e+00
6.3281e-03	6.7969e-03	1.4899e+01	2.1477e+01	0.0000e+00	0.0000e+00
6.5625e-03	6.7969e-03	1.4815e+01	2.1523e+01	0.0000e+00	0.0000e+00
6.7969e-03	6.7969e-03	1.4846e+01	2.1551e+01	0.0000e+00	0.0000e+00
7.0313e-03	6.7969e-03	1.5089e+01	2.1434e+01	0.0000e+00	0.0000e+00
7.2656e-03	6.7969e-03	1.4939e+01	2.1398e+01	0.0000e+00	0.0000e+00
2.3438e-04	6.5625e-03	4.4638e+01	2.1770e+01	0.0000e+00	0.0000e+00
4.6875e-04	6.5625e-03	4.4619e+01	2.1686e+01	1.0000e+00	0.0000e+00
7.0313e-04	6.5625e-03	4.4386e+01	2.1513e+01	0.0000e+00	0.0000e+00
9.3750e-04	6.5625e-03	4.4509e+01	2.1600e+01	1.0000e+00	0.0000e+00
1.1719e-03	6.5625e-03	4.4480e+01	2.1585e+01	0.0000e+00	0.0000e+00
1.4063e-03	6.5625e-03	4.4473e+01	2.1530e+01	1.0000e+00	0.0000e+00
1.6406e-03	6.5625e-03	4.4469e+01	2.1453e+01	0.0000e+00	0.0000e+00
1.8750e-03	6.5625e-03	4.4463e+01	2.1414e+01	0.0000e+00	0.0000e+00
2.1094e-03	6.5625e-03	4.3864e+01	2.1465e+01	1.0000e+00	0.0000e+00
2.3438e-03	6.5625e-03	4.4358e+01	2.1315e+01	0.0000e+00	0.0000e+00
2.5781e-03	6.5625e-03	4.0634e+01	2.1512e+01	1.0000e+00	0.0000e+00
2.8125e-03	6.5625e-03	4.1961e+01	2.1392e+01	0.0000e+00	0.0000e+00
3.0469e-03	6.5625e-03	3.2457e+01	2.2019e+01	0.0000e+00	0.0000e+00
3.2813e-03	6.5625e-03	1.8288e+01	2.2315e+01	0.0000e+00	0.0000e+00
3.5156e-03	6.5625e-03	1.7143e+01	2.2119e+01	0.0000e+00	0.0000e+00
3.7500e-03	6.5625e-03	1.5440e+01	2.2141e+01	0.0000e+00	0.0000e+00
3.9844e-03	6.5625e-03	1.5716e+01	2.1806e+01	1.0000e+00	0.0000e+00
4.2188e-03	6.5625e-03	1.5062e+01	2.1709e+01	1.0000e+00	0.0000e+00
4.4531e-03	6.5625e-03	1.4789e+01	2.1623e+01	0.0000e+00	0.0000e+00
4.6875e-03	6.5625e-03	1.4567e+01	2.1648e+01	0.0000e+00	0.0000e+00
4.9219e-03	6.5625e-03	1.4727e+01	2.1656e+01	0.0000e+00	0.0000e+00
5.1563e-03	6.5625e-03	1.4615e+01	2.1674e+01	0.0000e+00	0.0000e+00
5.3906e-03	6.5625e-03	1.4813e+01	2.1647e+01	0.0000e+00	0.0000e+00
5.6250e-03	6.5625e-03	1.4841e+01	2.1547e+01	0.0000e+00	0.0000e+00
5.8594e-03	6.5625e-03	1.4818e+01	2.1539e+01	0.0000e+00	0.0000e+00
6.0938e-03	6.5625e-03	1.4774e+01	2.1516e+01	0.0000e+00	0.0000e+00
6.3281e-03	6.5625e-03	1.4864e+01	2.1479e+01	0.0000e+00	0.0000e+00
6.5625e-03	6.5625e-03	1.4818e+01	2.1554e+01	0.0000e+00	0.0000e+00
6.7969e-03	6.5625e-03	1.4825e+01	2.1538e+01	0.0000e+00	0.0000e+00
7.0313e-03	6.5625e-03	1.4880e+01	2.1539e+01	1.0000e+00	0.0000e+00
7.2656e-03	6.5625e-03	1.4880e+01	2.1420e+01	0.0000e+00	0.0000e+00
2.3438e-04	6.3281e-03	4.4583e+01	2.1646e+01	1.0000e+00	0.0000e+00
4.6875e-04	6.3281e-03	4.4559e+01	2.1628e+01	1.0000e+00	0.0000e+00
7.0313e-04	6.3281e-03	4.4450e+01	2.1522e+01	0.0000e+00	0.0000e+00
9.3750e-04	6.3281e-03	4.4502e+01	2.1546e+01	0.0000e+00	0.0000e+00
1.1719e-03	6.3281e-03	4.4492e+01	2.1556e+01	1.0000e+00	0.0000e+00
1.4063e-03	6.3281e-03	4.4479e+01	2.1564e+01	0.0000e+00	0.0000e+00
1.6406e-03	6.3281e-03	4.4516e+01	2.1485e+01	0.0000e+00	0.0000e+00
1.8750e-03	6.3281e-03	4.4363e+01	2.1486e+01	1.0000e+00	0.0000e+00
2.1094e-03	6.3281e-03	4.4158e+01	2.1481e+01	0.0000e+00	0.0000e+00
2.3438e-03	6.3281e-03	4.4624e+01	2.1276e+01	0.0000e+00	0.0000e+00
2.5781e-03	6.3281e-03	4.0776e+01	2.1404e+01	1.0000e+00	0.0000e+00
2.8125e-03	6.3281e-03	4.2488e+01	2.1033e+01	0.0000e+00	0.0000e+00
3.0469e-03	6.3281e-03	3.3717e+01	2.1182e+01	0.0000e+00	0.0000e+00
3.2813e-03	6.3281e-03	1.9246e+01	2.2557e+01	0.0000e+00	0.0000e+00
3.5156e-03	6.3281e-03	1.8110e+01	2.2910e+01	0.0000e+00	0.0000e+00
3.7500e-03	6.3281e-03	1.5145e+01	2.2217e+01	0.0000e+00	0.0000e+00
3.9844e-03	6.3281e-03	1.5740e+01	2.1722e+01	1.0000e+00	0.0000e+00
4.2188e-03	6.3281e-03	1.5167e+01	2.1689e+01	1.0000e+00	0.0000e+00
4.4531e-03	6.3281e-03	1.4778e+01	2.1700e+01	0.0000e+00	0.0000e+00
4.6875e-03	6.3281e-03	1.4774e+01	2.1635e+01	1.0000e+00	0.0000e+00
4.9219e-03	6.3281e-03	1.4662e+01	2.1664e+01	0.0000e+00	0.0000e+00
5.1563e-03	6.3281e-03	1.4574e+01	2.1655e+01	0.0000e+00	0.0000e+00
5.3906e-03	6.3281e-03	1.4812e+01	2.1546e+01	0.0000e+00	0.0000e+00
5.6250e-03	6.3281e-03	1.4950e+01	2.1447e+01	0.0000e+00	0.0000e+00
5.8594e-03	6.3281e-03	1.4834e+01	2.1578e+01	1.0000e+00	0.0000e+00
6.0938e-03	6.3281e-03	1.4730e+01	2.1667e+01	0.0000e+00	0.0000e+00
6.3281e-03	6.3281e-03	1.4841e+01	2.1636e+01	0.0000e+00	0.0000e+00
6.5625e-03	6.3281e-03	1.4841e+01	2.1559e+01	1.0000e+00	0.0000e+00
6.7969e-03	6.3281e-03	1.4893e+01	2.1538e+01	0.0000e+00	0.0000e+00
7.0313e-03	6.3281e-03	1.4792e+01	2.1534e+01	0.0000e+00	0.0000e+00
7.2656e-03	6.3281e-03	1.4887e+01	2.1530e+01	1.0000e+00	0.0000e+00
2.3438e-04	6.0938e-03	4.4512e+01	2.1582e+01	1.0000e+00	0.0000e+00
4.6875e-04	6.0938e-03	4.4422e+01	2.1550e+01	0.0000e+00	0.0000e+00
7.0313e-04	6.0938e-03	4.4498e+01	2.1571e+01	1.0000e+00	0.0000e+00
