# x	y	u	v	flags	mask
1.1719e-03	6.5625e-03	4.4441e+01	2.1560e+01	0.0000e+00	0.0000e+00
1.4063e-03	6.5625e-03	4.4409e+01	2.1634e+01	0.0000e+00	0.0000e+00
1.6406e-03	6.5625e-03	4.4412e+01	2.1591e+01	1.0000e+00	0.0000e+00
1.8750e-03	6.5625e-03	4.4484e+01	2.1522e+01	0.0000e+00	0.0000e+00
2.1094e-03	6.5625e-03	4.4457e+01	2.1564e+01	0.0000e+00	0.0000e+00
2.3438e-03	6.5625e-03	4.4355e+01	2.1568e+01	0.0000e+00	0.0000e+00
2.5781e-03	6.5625e-03	4.4508e+01	2.1471e+01	0.0000e+00	0.0000e+00
2.8125e-03	6.5625e-03	4.4002e+01	2.1224e+01	0.0000e+00	0.0000e+00
3.0469e-03	6.5625e-03	4.3530e+01	2.1064e+01	0.0000e+00	0.0000e+00
3.2813e-03	6.5625e-03	4.0824e+01	2.1414e+01	1.0000e+00	0.0000e+00
3.5156e-03	6.5625e-03	3.8962e+01	2.1430e+01	0.0000e+00	0.0000e+00
3.7500e-03	6.5625e-03	3.7237e+01	2.1454e+01	1.0000e+00	0.0000e+00
3.9844e-03	6.5625e-03	3.5553e+01	2.1493e+01	1.0000e+00	0.0000e+00
4.2188e-03	6.5625e-03	3.4146e+01	2.1510e+01	1.0000e+00	0.0000e+00
4.4531e-03	6.5625e-03	3.2908e+01	2.1520e+01	1.0000e+00	0.0000e+00
4.6875e-03	6.5625e-03	3.1816e+01	2.1530e+01	0.0000e+00	0.0000e+00
4.9219e-03	6.5625e-03	3.0910e+01	2.1543e+01	0.0000e+00	0.0000e+00
5.1563e-03	6.5625e-03	3.0245e+01	2.1552e+01	1.0000e+00	0.0000e+00
5.3906e-03	6.5625e-03	2.9430e+01	2.1576e+01	0.0000e+00	0.0000e+00
5.6250e-03	6.5625e-03	2.8750e+01	2.1524e+01	0.0000e+00	0.0000e+00
5.8594e-03	6.5625e-03	2.8156e+01	2.1555e+01	1.0000e+00	0.0000e+00
6.0938e-03	6.5625e-03	2.7494e+01	2.1563e+01	0.0000e+00	0.0000e+00
6.3281e-03	6.5625e-03	2.6953e+01	2.1570e+01	0.0000e+00	0.0000e+00
6.5625e-03	6.5625e-03	2.6535e+01	2.1598e+01	1.0000e+00	0.0000e+00
6.7969e-03	6.5625e-03	2.6023e+01	2.1678e+01	0.0000e+00	0.0000e+00
7.0313e-03	6.5625e-03	2.5676e+01	2.1668e+01	0.0000e+00	0.0000e+00
7.2656e-03	6.5625e-03	2.5912e+01	2.1616e+01	1.0000e+00	0.0000e+00
2.3438e-04	6.3281e-03	4.3471e+01	2.1157e+01	0.0000e+00	0.0000e+00
4.6875e-04	6.3281e-03	4.4256e+01	2.1503e+01	0.0000e+00	0.0000e+00
7.0313e-04	6.3281e-03	4.4364e+01	2.1510e+01	0.0000e+00	0.0000e+00
9.3750e-04	6.3281e-03	4.4405e+01	2.1525e+01	0.0000e+00	0.0000e+00
1.1719e-03	6.3281e-03	4.4391e+01	2.1547e+01	0.0000e+00	0.0000e+00
1.4063e-03	6.3281e-03	4.4347e+01	2.1590e+01	0.0000e+00	0.0000e+00
1.6406e-03	6.3281e-03	4.4421e+01	2.1591e+01	0.0000e+00	0.0000e+00
1.8750e-03	6.3281e-03	4.4476e+01	2.1550e+01	0.0000e+00	0.0000e+00
2.1094e-03	6.3281e-03	4.4456e+01	2.1519e+01	0.0000e+00	0.0000e+00
2.3438e-03	6.3281e-03	4.4366e+01	2.1472e+01	0.0000e+00	0.0000e+00
2.5781e-03	6.3281e-03	4.4528e+01	2.1392e+01	0.0000e+00	0.0000e+00
2.8125e-03	6.3281e-03	4.4066e+01	2.1232e+01	0.0000e+00	0.0000e+00
3.0469e-03	6.3281e-03	4.2308e+01	2.1359e+01	1.0000e+00	0.0000e+00
3.2813e-03	6.3281e-03	4.0973e+01	2.1212e+01	0.0000e+00	0.0000e+00
3.5156e-03	6.3281e-03	3.8828e+01	2.1462e+01	0.0000e+00	0.0000e+00
3.7500e-03	6.3281e-03	3.6553e+01	2.1581e+01	0.0000e+00	0.0000e+00
